DATE;DLS_LAST;DLS_OPEN;DLS_MAX;DLS_MIN;DLS_VAR
01/07/2016;15.06;15.04;15.18;14.95;0.14
30/06/2016;15.0385;14.951;15.0585;14.9;0.51
29/06/2016;14.9615;14.89;14.9705;14.72;0.36
28/06/2016;14.908;15.275;15.323;14.85;-2.49
27/06/2016;15.289;14.912;15.304;14.89;2.46
24/06/2016;14.9225;14.386;14.948;14.386;3.74
23/06/2016;14.385;14.07;14.455;14.07;2.27
22/06/2016;14.066;13.937;14.08;13.937;0.8
21/06/2016;13.9545;13.9;13.9775;13.8;0.43
20/06/2016;13.895;13.891;13.896;13.89;-0.04
17/06/2016;13.901;13.89;13.901;13.89;-0.04
16/06/2016;13.906;13.725;13.925;13.7;1.22
15/06/2016;13.7385;13.733;13.8185;13.725;0.03
14/06/2016;13.735;13.77;13.81;13.73;-0.46
13/06/2016;13.7985;13.8;13.8185;13.75;-0.05
10/06/2016;13.805;13.77;13.84;13.77;-0.09
09/06/2016;13.818;13.872;13.893;13.76;-0.55
08/06/2016;13.894;13.817;13.917;13.75;0.5
07/06/2016;13.825;13.767;13.84;13.73;0.35
06/06/2016;13.777;13.886;13.896;13.7;-0.95
03/06/2016;13.9085;13.8975;13.9225;13.8475;0
02/06/2016;13.9085;13.935;13.9575;13.886;-0.43
01/06/2016;13.9685;13.972;14.02;13.91;-0.1
31/05/2016;13.9825;13.93;14.053;13.93;0.2
30/05/2016;13.955;13.915;13.955;13.9;0.36
27/05/2016;13.905;13.986;14.02;13.9;-0.71
26/05/2016;14.005;14.05;14.145;13.99;-0.28
25/05/2016;14.0445;14.03;14.0445;14.03;0.01
24/05/2016;14.0435;13.978;14.065;13.978;0.39
23/05/2016;13.9895;14.068;14.0795;13.95;-0.63
20/05/2016;14.078;14.081;14.12;14;-0.11
19/05/2016;14.093;14.13;14.147;14.08;-0.25
18/05/2016;14.1285;14.177;14.1895;14.095;-0.08
17/05/2016;14.14;14.15;14.17;14.1;-0.18
16/05/2016;14.166;14.15;14.231;14.1;0.09
13/05/2016;14.1538;14.191;14.2037;14.14;-0.01
12/05/2016;14.155;14.15;14.218;14.15;-0.32
11/05/2016;14.201;14.21;14.24;14.191;-0.18
10/05/2016;14.226;14.22;14.251;14.206;-0.01
09/05/2016;14.228;14.206;14.255;14.19;0.05
06/05/2016;14.221;14.25;14.275;14.18;-0.11
05/05/2016;14.2365;14.24;14.2765;14.21;-0.04
04/05/2016;14.2425;14.2;14.2425;14.165;0.31
03/05/2016;14.1985;14.166;14.2385;14.16;0.14
02/05/2016;14.179;14.28;14.313;14.1;-0.74
29/04/2016;14.285;14.25;14.305;14.15;-0.28
28/04/2016;14.325;14.19;14.325;14.15;0.87
27/04/2016;14.201;14.29;14.325;14.15;-0.82
26/04/2016;14.318;14.29;14.358;14.215;0.02
25/04/2016;14.315;14.293;14.385;14.25;-0.02
22/04/2016;14.318;14.25;14.575;14.25;0.31
21/04/2016;14.2735;14.307;14.4395;14.25;-0.54
20/04/2016;14.3505;14.163;14.3605;14.15;1.31
19/04/2016;14.165;14.12;14.2;14.01;0.21
18/04/2016;14.136;14.028;14.215;14;0.7
15/04/2016;14.0375;14.31;14.3195;13.9;-2
14/04/2016;14.3245;14.37;14.4125;14.25;-0.46
13/04/2016;14.3905;14.45;14.4705;14.25;-0.76
12/04/2016;14.5;14.505;14.6;14.4;-0.15
11/04/2016;14.5225;14.46;14.5325;14.42;0.4
08/04/2016;14.465;14.37;14.475;14.36;-0.07
07/04/2016;14.475;14.57;14.608;14.4;-0.89
06/04/2016;14.605;14.67;14.765;14.6;-0.54
05/04/2016;14.685;14.696;14.705;14.6;-0.24
04/04/2016;14.72;14.775;14.82;14.696;-0.46
01/04/2016;14.7885;14.65;14.8435;14.55;0.62
31/03/2016;14.6975;14.625;14.7185;14.55;0.62
30/03/2016;14.6075;14.625;14.6645;14.5;-0.21
29/03/2016;14.638;14.8;15.013;14.5;-1.2
28/03/2016;14.816;14.49;14.846;14.49;2.21
25/03/2016;14.495;14.49;14.495;14.49;-0.04
24/03/2016;14.5015;14.49;14.5015;14.49;0
23/03/2016;14.502;14.35;14.512;14.25;0.81
22/03/2016;14.385;14.46;14.47;14.1;-0.59
21/03/2016;14.4705;14.762;14.7745;14.4;-2.05
18/03/2016;14.774;14.7;14.872;14.68;-0.98
17/03/2016;14.9195;14.6;14.9315;14.505;2.15
16/03/2016;14.605;14.5;14.615;14.35;0.57
15/03/2016;14.5225;14.75;14.7725;14.5;-1.78
14/03/2016;14.786;14.836;14.931;14.5;-0.46
11/03/2016;14.854;15.33;15.358;14.8;-3.12
10/03/2016;15.332;15.347;15.3645;15.2;-0.21
09/03/2016;15.3645;15.35;15.3825;15.2;-0.54
08/03/2016;15.4485;15.38;15.4735;15.35;0.33
07/03/2016;15.397;15.188;15.437;15.15;1.3
04/03/2016;15.1995;15.15;15.2615;15.11;-0.12
03/03/2016;15.217;15.655;15.69;15;-2.8
02/03/2016;15.655;15.78;15.785;15.6;-0.85
01/03/2016;15.79;15.81;15.9575;15.71;-0.26
29/02/2016;15.8315;15.451;15.8465;15.451;2.38
26/02/2016;15.463;15.385;15.482;15.37;0.16
