mes;MONTH;YEAR;PRICE_VAR;PRICE_LEVEL;PIB_REAL;PIB_NOMINAL;PIB_REAL_VAR;PIB_NOMINAL_VAR;ACTIVITY_RATE_GBA;UNEMPLOYMENT_RATE_GBA;EMAE;EMAE_VAR;EMAE_DESESTAC;EMAE_DESESTAC_VAR;INDUSTRY;PUBLIC_SERVICES;CONSTRUCTION;COMMERCE;TURISM;TRANSPORT;WAGES_PRIVATE_FORMAL;WAGES_PRIVATE_INFORMAL;WAGES_PUBLIC;WAGES_GENERAL_VAR
sep-13;9;2013;2.1;100;721459;3436547;;;53.5;5.2;147.0048442;3.181904106;149.5481095;-0.327158253;150.7686951;132.1138885;154.2125405;168.5606755;160.5219193;179.1939856;140.71;142.1122644;135.91;2.351336556
oct-13;10;2013;2.2;102.2;706597;3679896;-0.020599923;0.070812068;52.6;4.4;148.6939594;0.993441212;149.1855654;-0.242426394;154.9208829;129.8678968;148.1197665;173.0327963;159.4417091;180.3279537;142.5;145.4217475;136.9;1.318346159
nov-13;11;2013;2.4;104.63;706597;3679896;-0.020599923;0.070812068;52.6;4.4;145.6958976;-0.462880598;148.1229131;-0.712302382;148.0741601;127.9428141;146.1426169;164.6020137;159.6089495;179.6993725;145.71;153.3649098;137.69;2.394980555
dic-13;12;2013;2.3;107;706597;3679896;-0.020599923;0.070812068;52.6;4.4;142.5768791;-0.702147553;146.526918;-1.077480183;141.7213687;150.664394;141.1414843;151.1921556;156.1662683;175.5694011;147.14;155.3501965;139.84;1.185060901
ene-14;1;2014;4.8;112.13;671066;3917649;-0.050284674;0.064608619;52.2;5.9;137.9696974;1.064061477;147.1079726;0.396551381;124.4212337;150.3935992;150.3110602;144.5742486;165.5993277;175.0858692;148.88;159.3006147;143.1642359;1.734357671
feb-14;2;2014;4.4;117.04;671066;3917649;-0.050284674;0.064608619;52.2;5.9;132.4863069;-0.232700285;146.7498161;-0.243465043;119.7169346;126.2104187;149.4195773;140.8804662;155.4240168;169.3849743;151.17;162.7713393;147.98;2.121500706
mar-14;3;2014;3.6;121.31;671066;3917649;-0.050284674;0.064608619;53.5;6.3;144.5378281;-3.257020798;144.5085972;-1.527237946;135.3333183;131.2013838;150.8708293;156.7203561;149.6506463;177.5450962;153.69;170.4081427;154.34;2.905491056
abr-14;4;2014;3.1;125.1;760577;4702630;0.133386284;0.200370426;53.5;6.3;152.3414355;-2.308659444;145.2924012;0.542392639;135.7471741;128.638067;146.5565253;152.7232687;147.8764786;185.2911197;163.76;175.8359367;158.73;4.949026468
may-14;5;2014;2.5;128.22;760577;4702630;0.133386284;0.200370426;53.5;6.3;164.2032439;-2.24454196;145.1721648;-0.082754744;140.4167449;139.175771;148.2206633;155.5435299;145.3010683;196.4469027;167.58;187.4493601;162.5063518;3.136934545
jun-14;6;2014;2.3;131.21;760577;4702630;0.133386284;0.200370426;51.7;8.6;153.803524;-1.579516831;144.1657617;-0.69324798;136.4099835;142.7748544;148.2588717;151.9532521;143.3912991;189.8984151;171.12;194.3948403;169.6692853;3.000706446
jul-14;7;2014;2.2;134.13;690880;4685503;-0.091637007;-0.003642005;51.7;8.6;145.4228137;-3.521629604;143.9102676;-0.177222499;137.3566193;147.3928362;147.0229308;154.3389201;160.5589484;185.1009864;178.19;200.8727199;173.0533818;3.427159755
ago-14;8;2014;2.3;137.18;690880;4685503;-0.091637007;-0.003642005;51.7;8.6;140.105304;-5.603061815;143.0655861;-0.586950122;136.8344613;137.1075896;147.205451;151.75616;158.3258692;180.8564899;182.0297608;198.7282072;181.8825225;2.281809787
sep-14;9;2014;2.2;140.26;690880;4685503;-0.091637007;-0.003642005;52.8;6.7;141.7187332;-3.595875373;143.9761962;0.636498374;139.490734;129.7298456;149.5263027;158.8288378;158.2214104;179.627541;186.4989435;200.4373677;182.9821146;1.674908711
oct-14;10;2014;1.9;142.97;686701;5010564;-0.006048807;0.069375903;52.8;6.7;143.3493974;-3.594336986;144.1435731;0.116253177;144.7562132;138.6825698;142.4347977;161.6106082;164.5197609;182.3715252;189.9112974;204.500655;184.1541611;1.559256108
nov-14;11;2014;1.8;145.58;686701;5010564;-0.006048807;0.069375903;52.8;6.7;140.8775969;-3.307094303;144.5168524;0.258963558;139.4289331;133.889001;143.0101807;154.5107843;163.989497;180.4783666;192.2241432;213.0666129;185.4268451;1.635228991
dic-14;12;2014;1.5;147.7;686701;5010564;-0.006048807;0.069375903;52.6;8.4;140.4359377;-1.501604882;144.6426299;0.087033099;133.8623263;142.455618;139.964452;147.5968485;162.9197651;179.9137435;193.4817967;217.5188955;187.2275452;1.008019536
ene-15;1;2015;2;150.59;671245;4992846;-0.022507612;-0.003536129;52.6;8.4;134.7823067;-2.310210686;145.4923073;0.587432162;119.2039912;147.6913852;146.6278923;136.3340422;171.6532043;176.8017832;195.826886;224.7707347;191.9700064;1.955264549
feb-15;2;2015;1.5;152.77;671245;4992846;-0.022507612;-0.003536129;52.6;8.4;131.8453025;-0.483826913;147.7444144;1.547921803;116.7741256;137.0419571;147.6703039;135.511596;160.4196669;171.1297654;197.3571364;226.7681145;194.3622306;0.920748361
mar-15;3;2015;1.7;155.31;671245;4992846;-0.022507612;-0.003536129;54.1;8.6;148.4765901;2.725073483;147.2600227;-0.327857848;134.2588498;148.9815494;151.8143333;161.4780365;150.7460779;181.9120018;200.5952135;230.1743424;209.3168888;3.160918705
abr-15;4;2015;2.4;158.99;790293;5866667;0.177354021;0.175014611;54.1;8.6;157.3954151;3.317534496;148.6786711;0.963362854;136.1262824;130.4538462;151.9442198;155.9832759;147.4088187;189.7520058;203.1437237;230.281165;214.7298243;1.386522058
may-15;5;2015;2.2;162.51;790293;5866667;0.177354021;0.175014611;54.1;8.6;169.1710982;3.025430034;149.1147242;0.293285567;140.4417529;139.0063159;153.3913958;159.7896267;144.308897;198.2083735;212.0589928;236.4022977;214.9533361;2.904084872
jun-15;6;2015;1.4;164.7;790293;5866667;0.177354021;0.175014611;54.7;7.2;162.1582734;5.432092316;150.5640414;0.971947747;141.7559091;145.2989372;155.5868594;166.1123998;145.5940162;195.412253;219.5921092;246.9474957;224.1632705;3.916332354
jul-15;7;2015;2;168.07;717178;6086615;-0.09251632;0.037491134;54.7;7.2;151.5922517;4.242414088;150.0443196;-0.345183237;141.7561685;151.1136238;158.0145287;164.4749731;165.8677016;191.9725316;227.8788077;258.083241;229.26;3.518071057
ago-15;8;2015;1.8;171.14;717178;6086615;-0.09251632;0.037491134;54.7;7.2;146.134687;4.303465196;149.3982094;-0.430612879;142.0829444;145.0844783;156.379386;162.9419216;162.0618393;188.5305571;233.8175134;261.6668346;237.5987624;2.641100632
sep-15;9;2015;1.7;173.98;717178;6086615;-0.09251632;0.037491134;55.5;6.8;145.782925;2.867787297;149.4163424;0.01213738;139.5519969;138.4513579;157.3553007;165.6487097;162.1205873;187.9747037;237.4584381;268.1991333;242.1049584;1.824330745
oct-15;10;2015;1.7;176.94;704877;6469930;-0.017151948;0.062976712;55.5;6.8;146.7762613;2.390567372;149.6265678;0.140697739;145.4622848;139.303399;150.3608186;164.6971994;166.86305;187.7295241;240.6065668;272.4135846;243.9026616;1.219142512
nov-15;11;2015;2;180.4;704877;6469930;-0.017151948;0.062976712;55.5;6.8;145.9964475;3.633544801;148.4180294;-0.807703119;142.8871163;134.4708573;147.7134941;165.1487159;166.825832;185.5546817;247.0470292;278.3785785;276.1790036;1.245837868
dic-15;12;2015;3.9;187.46;704877;6469930;-0.017151948;0.062976712;54.3;8.6;143.1300311;1.91837885;147.4839401;-0.629363754;135.808893;147.6711152;138.4370271;147.5226829;165.0033975;183.9298005;251.633419;282.8431751;279.4375393;1.265818441
ene-16;1;2016;4.1;195.22;675106;6898032;-0.042235738;0.066167949;54.3;8.6;135.7754341;0.736838139;147.6816036;0.134023739;118.624268;153.8698572;141.5103696;136.7951962;170.9905352;185.8396118;256.7402503;286.832036;280.451306;1.283669937
feb-16;2;2016;4;202.97;675106;6898032;-0.042235738;0.066167949;54.3;8.6;132.9301971;0.822854256;146.5634027;-0.757170043;116.5888784;146.6967645;138.3540727;134.7456128;162.6884705;181.3558423;260.3508126;290.6379217;283.7098417;1.300702556
mar-16;3;2016;3.3;209.7;675106;6898032;-0.042235738;0.066167949;55.5;10.5;148.7862935;0.20858732;147.1470088;0.398193573;132.1025194;138.4180801;140.3404164;162.9812968;156.4342208;191.9038828;262.8229092;299.7866853;303.4058797;1.341646354
abr-16;4;2016;6.5;223.43;761344;8248262;0.12773994;0.195741336;55.5;10.5;152.5599735;-3.072161707;145.0410191;-1.431214743;126.6860745;135.2568809;125.1011716;153.0051217;150.6022788;192.7763638;279.4770342;312.1558136;305.0713535;1.397002368
may-16;5;2016;5;234.67;761344;8248262;0.12773994;0.195741336;55.5;10.5;164.1281333;-2.98098491;144.1207198;-0.63450964;131.4144533;147.5023436;134.6365996;157.7563372;148.2104083;204.4777327;288.6498139;322.512214;315.3900499;1.443350747
jun-16;6;2016;3.2;242.24;761344;8248262;0.12773994;0.195741336;55.7;9.8;154.1342312;-4.948278016;143.3712963;-0.519997072;126.0972951;149.4739844;129.9858133;158.0667815;148.9486541;198.1497071;293.2362038;328.7333733;323.2467415;1.471192529
