DATE;WAGE;WAGE_VAR
01/09/2013;136.58;
02/09/2013;136.68;0.000732172
03/09/2013;136.79;0.0008048
04/09/2013;136.89;0.000731048
05/09/2013;137;0.000803565
06/09/2013;137.11;0.00080292
07/09/2013;137.21;0.000729341
08/09/2013;137.32;0.000801691
09/09/2013;137.43;0.000801049
10/09/2013;137.53;0.000727643
11/09/2013;137.64;0.000799825
12/09/2013;137.75;0.000799186
13/09/2013;137.85;0.000725953
14/09/2013;137.96;0.000797969
15/09/2013;138.07;0.000797333
16/09/2013;138.17;0.00072427
17/09/2013;138.28;0.000796121
18/09/2013;138.39;0.000795487
19/09/2013;138.49;0.000722596
20/09/2013;138.6;0.000794281
21/09/2013;138.71;0.000793651
22/09/2013;138.82;0.000793021
23/09/2013;138.92;0.000720357
24/09/2013;139.03;0.000791823
25/09/2013;139.14;0.000791196
26/09/2013;139.25;0.000790571
27/09/2013;139.36;0.000789946
28/09/2013;139.46;0.000717566
29/09/2013;139.57;0.000788757
30/09/2013;139.68;0.000788135
01/10/2013;139.74;0.000429553
02/10/2013;139.8;0.000429369
03/10/2013;139.86;0.000429185
04/10/2013;139.92;0.000429
05/10/2013;139.98;0.000428816
06/10/2013;140.03;0.000357194
07/10/2013;140.09;0.00042848
08/10/2013;140.15;0.000428296
09/10/2013;140.21;0.000428113
10/10/2013;140.27;0.00042793
11/10/2013;140.33;0.000427746
12/10/2013;140.39;0.000427564
13/10/2013;140.45;0.000427381
14/10/2013;140.51;0.000427198
15/10/2013;140.57;0.000427016
16/10/2013;140.63;0.000426834
17/10/2013;140.69;0.000426651
18/10/2013;140.75;0.00042647
19/10/2013;140.81;0.000426288
20/10/2013;140.86;0.000355088
21/10/2013;140.92;0.000425955
22/10/2013;140.98;0.000425773
23/10/2013;141.04;0.000425592
24/10/2013;141.1;0.000425411
25/10/2013;141.16;0.00042523
26/10/2013;141.22;0.00042505
27/10/2013;141.28;0.000424869
28/10/2013;141.34;0.000424689
29/10/2013;141.4;0.000424508
30/10/2013;141.46;0.000424328
31/10/2013;141.52;0.000424148
01/11/2013;141.63;0.000777275
02/11/2013;141.74;0.000776672
03/11/2013;141.86;0.000846621
04/11/2013;141.97;0.000775412
05/11/2013;142.08;0.000774812
