Fecha,PRECIPITACION-MM,Precipitación como día pluviométrico(mm),"Temperatura Máxima del aire en abrigo a 1,5 m de altura(ºC)","Temperatura Mínima del aire  en abrigo a 1,5 m de altura(ºC)",Humedad relativa media(%),Humedad relativa 8-14-20(%),Velocidad media del viento a 2m(km/h),Dirección prevalente del viento a 2m(PC),Dirección prevalente del viento a 10m altura(PC),Duración del follaje mojado(h),Velocidad media del viento a 10m(km/h),Tensión de vapor media(hPa),Evapotranspiración Potencial(mm),Unidades de Frío(h),"Temperatura Media del aire en abrigo a 1,5 m de altura(ºC)",Evaporación del tanque(mm),"Temperatura mínima del aire en intemperie a 0,5m(ºC)",Heliofanía Efectiva(h),Radiación Neta(MJ/m2),Punto de rocío medio(ºC),Máxima velocidad del viento(km/h),Máxima precipitación en 30min(mm),Horas de Frío(h),Presión atmosférica media(hPa),Temperatura media del suelo a 10cm de profundidad(ºC),Temperatura mínima del aire en intemperie a 1.5m(ºC),Heliofanía Relativa(%)
1/09/2013,0,0,29,8.3,64,53,3.7, C , C ,0.2,4.6,12.2, ,-8.7,18.3, ,7.5, , ,9.9,18.6,0,0,1008.3,14.4,7.8, 
2/09/2013,0,0,21.4,12.7,57,49,6.8, S , C ,0,8.5,9.8, ,-7.6,16.6, ,11.3, , ,6.7,30.8,0,0,1010.5,14.4,12.2, 
3/09/2013,0,0,15.6,6.9,62,59,6.9, S , C ,0,8.6,7.6, ,12.7,11.1, ,5.9, , ,2.9,28.5,0,3,1020.9,13.3,6.5, 
4/09/2013,0,0,15.3,1.2,74,71,6.4, E , C ,0,8,8.8, ,11.8,8.9, ,0, , ,5,20.2,0,7,1021.6,12.2,0.8, 
5/09/2013,0,0,17.1,10.9,69,71,7.1, E , C ,0,8.9,10.4, ,5,12.9, ,10.2, , ,7.5,23.2,0,0,1015.7,12.3,10.6, 
6/09/2013,1,92,25.7,7.3,68,59,4.5, E , C ,0.4,5.6,12.4, ,-9.2,16.1, ,6.6, , ,10,30.2,1,0,1012.2,13.3,6.7, 
7/09/2013,107.4,16.6,19.5,14.9,100,100,6.3, E , C ,4.9,7.8,18.7, ,-8.5,17.4, ,14.2, , ,16.4,60.4,26.6,0,1007,15.4,14.3, 
8/09/2013,0.2,0,26.9,11,71,70,3.3, W , C ,0,4.1,13.2, ,-9.4,17.4, ,10.1, , ,10.9,19.7,0.2,0,1012,15.6,10.2, 
9/09/2013,0,0,29.1,13.4,71,68,8.8, NE, C ,0,11,19.1, ,-16.5,20.6, ,12.6, , ,16.6,28.6,0,0,1008.3,16.4,13, 
10/09/2013,0,0,35.1,22.9,54,53,11.2, N , C ,0,14,19.8, ,-23.9,27.9, ,22.1, , ,17.3,43.3,0,0,1004.6,18.8,22.5, 
